Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Olga Shpak,F,D,Raw,19.0,18-19,T3,54.0,56,,,,,,,,,,,112.5,-122.5,122.5,,122.5,122.5,1,148.3,154.23,131.29,507.98,Yes,,WPC-UKR,2017-04-22,Ukraine,,Ukraine Championships
George Nabeshima,M,B,Single-ply,,,Masters 40-46,75.0,75,,,,,,,,,,142.5,,,,,,142.5,2,101.54,101.54,98.22,514.27,Yes,USA,WABDL,2009-10-31,USA,NV,World Championships
Brad Daugirda,M,SBD,Raw,38.0,35-39,MR-O,81.3,83,140.0,147.5,-157.5,,147.5,102.5,-105.0,-105.0,,102.5,185.0,-197.5,-197.5,,185.0,435.0,11,294.01,294.01,283.92,415.39,Yes,,USAPL,2017-03-04,USA,TX,Arlington Strength Raw Classic
Dillon Heredia,M,SBD,Raw,22.5,20-23,MR-Jr,82.2,83,177.5,190.0,192.5,,192.5,130.0,-142.5,142.5,,142.5,225.0,232.5,240.0,,240.0,575.0,24,386.04,386.04,372.71,571.95,Yes,,USAPL,2016-10-13,USA,GA,Raw Nationals
Ann Whitmarsh,F,SBD,Raw,61.5,60-64,FR-M3,64.9,72,20.0,,,,20.0,27.5,32.5,,,32.5,55.0,,,,55.0,107.5,1,112.91,154.23,99.66,173.85,Yes,USA,USAPL,2015-06-28,USA,NY,SBWC Summer Invitational
Ann Votsikas,F,SBD,Raw,53.0,50-54,F_M3_R_AWPC,81.6,82.5,82.5,87.5,92.5,,92.5,57.5,62.5,-65.0,,62.5,140.0,147.5,152.5,,152.5,307.5,1,278.35,329.56,243.82,476.47,,UK,WPC,2018-06-25,France,,European Championships
Yaroslav Kozyupa,M,B,Single-ply,20.5,20-23,Open,78.6,82.5,,,,,,-140.0,-150.0,150.0,,150.0,,,,,,150.0,3,103.57,105.64,100.08,516.64,Yes,,UkrainePF,1996-03-19,Ukraine,,Ukrainian Bench Press Championships
Vitali Baranovski,M,SBD,Single-ply,19.5,20-23,Juniors,110.1,125,,,,,275.0,,,,,180.0,,,,,290.0,745.0,7,438.31,451.45,419.85,529.12,Yes,Belarus,EPF,1999-06-09,Poland,,European Juniors Powerlifting Championships
Marco Hofmann,M,SBD,Raw,22.5,20-23,Juniors,68.3,74,140.0,145.0,150.0,,150.0,90.0,100.0,107.5,,107.5,160.0,170.0,177.5,,177.5,435.0,1,332.27,332.27,322.18,474.96,Yes,,BVDK,2018-10-06,Germany,BY,Schwäbische Meisterschaften KDK Classic
Jaslyn Ochoa,F,SBD,Single-ply,,,Girls,51.21,51.9,,,,,97.52,,,,,38.56,,,,,108.86,244.94,2,308.97,308.97,274.05,404.89,Yes,,THSWPA,2019-01-12,USA,TX,Martin HS Invitational
Niklas Pettersson,M,B,Single-ply,26.5,24-34,Open,156.45,120+,,,,,,335.0,-342.5,-350.0,,335.0,,,,,,335.0,5,184.25,184.25,173.6,651.45,Yes,Sweden,IPF,2018-04-23,South Africa,,World Bench Press Championships
Khayrullo Saburov,M,D,Raw,21.0,20-23,J,71.8,75,,,,,,,,,,,130.0,150.0,185.0,,185.0,185.0,4,136.01,138.74,131.7,462.76,Yes,Russia,WPC,2013-08-15,Russia,,World Cup
Kristina Lyashenko,F,B,Raw,23.0,20-23,Tested Pro Open,60.9,67.5,,,,,,65.0,-70.0,-70.0,,65.0,,,,,,65.0,4,71.64,71.64,63.28,543.35,,Russia,IPL,2016-04-21,Russia,,European Powerlifting Championships
Tony Steien Tilrem,M,SBD,Raw,,,Open,73.4,74,110.0,120.0,125.0,,125.0,100.0,110.0,,,110.0,135.0,145.0,-180.0,,145.0,380.0,2,274.93,274.93,266.08,381.23,Yes,,NSF,2013-06-13,Norway,,Åpent stevne
Richard Douglas,M,SBD,Multi-ply,20.0,20-23,Juniors,110.0,110,,,,,254.01,,,,,206.38,,,,,247.21,707.6,1,416.42,428.91,398.9,505.46,,,APF,2007-06-23,USA,OH,Lexen Xtreme Open
Saul Ibarra,M,SBD,Raw,19.5,20-23,MR-C,73.5,74,-145.0,145.0,165.0,,165.0,67.5,77.5,-85.0,,77.5,175.0,190.0,195.0,,195.0,437.5,14,316.22,325.71,306.03,451.28,Yes,,USAPL,2017-12-02,USA,TX,Texas Open & Collegiate Cup
Sarah Turner,F,SBD,Raw,35.0,35-39,F_SR_AAPF,59.0,60,112.5,115.0,-117.5,,115.0,50.0,52.5,-55.0,,52.5,130.0,137.5,-142.5,,137.5,305.0,1,344.51,344.51,304.46,542.18,Yes,,CPF,2018-06-23,Canada,ON,National Championships
Viktoriya Gudz,F,B,Raw,33.5,24-34,Open,52.0,52,,,,,,55.0,60.0,-62.5,,60.0,,,,,,60.0,1,74.8,74.8,66.3,538.73,Yes,,UkrainePF,2011-09-16,Ukraine,,VOSPORO Open Cup
Johnny Peters,M,SBD,Single-ply,,,Boys,82.1,82.1,,,,,172.37,,,,,113.4,,,,,197.31,483.08,7,324.57,324.57,313.37,422.76,Yes,,THSPA,2012-01-21,USA,TX,Milby Powerlifting Classic
Bill Miller,M,SBD,Single-ply,,,Open,125.0,125,,,,,267.62,,,,,167.83,,,,,231.33,666.78,10,379.96,379.96,361.92,450.98,Yes,,ADFPA,1986-04-05,USA,PA,North Americans
Nikolaos Kalivas,M,B,Raw,,,Open,56.0,56,,,,,,95.0,,,,95.0,,,,,,95.0,1,86.48,86.48,84.57,534.39,,Greece,ESDT,2018-12-01,Greece,,Greek Qualifier
Antwan Coleman,M,SBD,Single-ply,,,Boys,66.32,67.1,,,,,222.26,,,,,117.93,,,,,195.04,535.24,1,418.61,418.61,406.27,527.77,Yes,,THSPA,2012-02-16,USA,TX,BC Invitational
Annette Garcia,F,SBD,Single-ply,,,Girls,47.63,47.8,,,,,79.38,,,,,27.22,,,,,86.18,192.78,6,256.77,256.77,228.67,349.57,Yes,,THSWPA,2016-01-28,USA,TX,Sharyland Powerlifting Meet
Artem Litvinenko,M,SBD,Single-ply,22.0,20-23,Juniors,130.8,120+,380.0,392.5,-400.0,,392.5,250.0,257.5,-265.0,,257.5,325.0,345.0,-350.0,,345.0,995.0,1,562.15,567.77,534.28,634.25,Yes,Russia,IPF,2013-08-27,USA,TX,World Juniors & Sub-Juniors Championships
Dennis Herron,M,SBD,Wraps,,40-44,Amateur Masters 40-44,140.0,140,,,,,238.14,,,,,170.1,,,,,226.8,635.03,2,354.86,354.86,336.19,463.41,Yes,,IPA,2014-07-14,USA,PA,Can-Am Police-Fire Games
Mario Mendoza,M,SBD,Single-ply,13.5,13-15,Junior Varsity,81.92,82.1,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2014-02-15,USA,TX,5th Annual Asa Chambless Powerlifting Classic
Bogdan Reznikov,M,B,Raw,18.5,18-19,Pro Open,96.4,100,,,,,,180.0,-190.0,190.0,,190.0,,,,,,190.0,4,117.42,122.12,112.97,698.99,,Ukraine,WPAU,2017-03-17,Ukraine,,Ukraine Open Championships
Ariana Conner,F,SBD,Single-ply,,,Girls,46.95,47.8,,,,,72.57,,,,,34.02,,,,,81.65,188.24,4,253.36,253.36,225.87,345.58,Yes,,THSWPA,2014-01-25,USA,TX,Abernathy Invitational
Randy Schiller,M,SBD,Single-ply,,,Masters 2,98.3,105,,,,,185.0,,,,,122.5,,,,,210.0,517.5,1,317.16,317.16,304.96,406.41,Yes,,CPU,2015-12-18,Canada,SK,Western Canadian Championship
Lyle Gibson,M,SBD,Single-ply,,,Masters 2,100.0,100,,,,,215.0,,,,,132.5,,,,,220.0,567.5,2,345.37,345.37,331.93,436.41,Yes,USA,IPF,1991-10-11,Uruguay,,World Masters Powerlifting Championships
Asle Sørebø,M,B,Single-ply,,,Teen 14-18,59.6,60,,,,,,85.0,90.0,92.5,,92.5,,,,,,92.5,3,79.38,79.38,77.37,457.26,Yes,,NSF,1996-08-23,Norway,,NM i Benkpress
James Searcy Sr,M,D,Raw,41.5,40-44,Open,158.76,,,,,,,,,,,,,,,,381.02,381.02,1,209.12,211.21,196.83,718.0,,USA,Hardcore,2007-08-10,USA,TX,Clash of the Titans
Essance Duncan,F,SBD,Single-ply,,,Girls,79.29,82.3,,,,,142.88,,,,,65.77,,,,,136.08,344.73,1,317.01,317.01,278.15,446.84,Yes,,THSWPA,2016-02-13,USA,TX,BLOOMING GROVE INVITATIONAL
Tyler Perreault,M,SBD,Wraps,20.0,20-23,Amateur Juniors 20-23,78.83,82.5,,,,,233.6,,,,,133.81,,,,,256.28,623.69,1,429.81,442.71,415.32,646.13,Yes,,RPS,2015-10-17,USA,MA,19th Annual Power Challenge Boston
Alex Kapica,M,SBD,Single-ply,,,Open,109.6,110,,,,,285.0,,,,,165.0,,,,,295.0,745.0,9,438.92,438.92,420.51,530.31,,Australia,IPF,1978-11-02,Finland,,Men's World Powerlifting Championships
M. Monroe,M,SBD,Multi-ply,,,Open,90.0,90,,,,,281.23,,,,,167.83,,,,,226.8,675.85,2,431.46,431.46,415.79,538.84,,,APF,1994-10-22,USA,OH,Ohio State Championships
Lisa Li,F,SBD,Single-ply,19.5,20-23,F-O,78.0,84,135.0,-140.0,140.0,,140.0,70.0,75.0,77.5,,77.5,135.0,142.5,150.0,,150.0,367.5,1,341.16,351.39,299.59,471.81,Yes,,USAPL,2016-02-27,USA,MA,Winter Classic
Sedrick Hay,M,SBD,Wraps,,,Open,90.0,90,187.5,192.5,-202.5,,192.5,120.0,125.0,-140.0,,125.0,230.0,235.0,-245.0,,235.0,552.5,4,352.71,352.71,339.9,513.35,,,WUAP,2015-01-01,USA,,National Championships
Kjetil Lindanger,M,SBD,Single-ply,,,Open,93.3,100,,,,,260.0,,,,,155.0,,,,,290.0,705.0,1,442.2,442.2,425.78,548.67,Yes,,NSF,2005-02-08,Norway,,Seriestevne
Kit Hannaa,F,SBD,Single-ply,,,Open,60.0,60,,,,,105.0,,,,,60.0,,,,,120.0,285.0,1,317.74,317.74,280.74,426.83,,,AusPF,1993-10-17,Australia,NSW,Novice and Open Competition
Runar Gregussen,M,SBD,Single-ply,,,Open,82.7,83,145.0,155.0,165.0,,165.0,-140.0,-140.0,-140.0,,,167.5,170.0,177.5,,177.5,,DQ,,,,,Yes,,NSF,2011-10-29,Norway,,Seriestevne
Adrian Contreras,M,SBD,Single-ply,,,Boys,109.77,109.7,,,,,172.37,,,,,106.59,,,,,197.31,476.27,6,280.46,280.46,268.68,358.03,Yes,,THSPA,2011-02-05,USA,TX,Somerset Invitational
Alex Fitzowich,M,SBD,Raw,23.0,20-23,MR-JR,88.45,90,180.0,192.5,-205.0,,192.5,125.0,135.0,-140.0,,135.0,190.0,200.0,210.0,,210.0,537.5,1,346.24,346.24,333.78,502.98,,,WRPF,2016-08-19,USA,CA,Boss of Bosses 3
Andrew Hessa,M,SBD,Wraps,17.0,16-17,MOR,89.8,90,177.5,-190.0,190.0,,190.0,110.0,-122.5,122.5,,122.5,187.5,210.0,230.0,,230.0,542.49,1,346.72,374.45,334.14,503.26,,,UPA,2019-03-30,USA,NE,Big Iron Rick Hussey Memorial Meet
Travis Hohbach,M,SBD,Wraps,17.5,18-19,teen,96.62,100,,,,,215.0,,,,,130.0,,,,,215.0,560.0,1,345.73,366.48,332.6,497.69,Yes,,NASA,2015-03-14,USA,IA,Iowa State
Sam Stimbridge,M,SBD,Single-ply,,,Boys,73.12,74.8,,,,,74.84,,,,,86.18,,,,,113.4,274.42,7,199.09,199.09,192.7,284.39,Yes,,THSPA,2013-01-10,USA,TX,Lumberton HS Boys
Bryce Siecko,M,SBD,Single-ply,20.5,20-23,M-M3b,82.7,90,,,,,285.0,,,,,175.0,,,,,262.5,722.5,1,483.31,492.97,466.57,600.3,Yes,,USAPL,2013-12-07,USA,TX,Texas Regional Championships
Daniel Chard,M,SBD,Wraps,16.0,16-17,M-T2RP,72.1,75,205.0,210.0,-215.0,,210.0,107.5,115.0,-117.5,,115.0,222.5,227.5,232.5,,232.5,557.5,1,408.62,461.75,395.63,607.01,,Australia,GPA,2014-11-21,Australia,NSW,World Championships
Kenny Rodriguez,M,B,Single-ply,,,Masters 40-46,125.0,125,,,,,,,,,,245.0,,,,,,245.0,1,139.61,139.61,132.98,568.69,Yes,,WABDL,2016-03-05,USA,CA,CA State BP & DL
Goki Omuro,M,B,Single-ply,25.0,24-34,Open,81.95,83,,,,,,290.0,-295.0,-312.5,,290.0,,,,,,290.0,1,195.06,195.06,188.33,829.06,Yes,Japan,JPA,2018-01-27,Japan,,Japanese Bench Press Championships
Victoria DeHanis,F,SBD,Single-ply,,,Girls,50.26,51.9,,,,,117.93,,,,,65.77,,,,,108.86,292.57,1,374.37,374.37,332.34,467.65,Yes,,THSWPA,2019-02-09,USA,TX,Reagan County Invitational
Liam Whooley,M,SBD,Raw,,,M-C-Open,91.2,93,180.0,190.0,192.5,,192.5,120.0,125.0,-130.0,,125.0,180.0,192.5,200.0,,200.0,517.5,7,328.18,328.18,316.17,471.22,Yes,,EPA,2017-12-03,England,,South Midlands Bitesize 5.5
Jan-Erik Bäckström,M,B,Raw,59.5,55-59,Masters 3,99.9,105,,,,,,,,,,120.0,,,,,,120.0,4,73.06,96.07,70.22,431.73,Yes,Sweden,SSF,2016-11-25,Sweden,,u/j/v-SM Bänkpress - klassisk
M. Gallup,F,SBD,Single-ply,,,Teen 14-16,47.0,47,,,,,27.5,,,,,,,,,,,,DQ,,,,,Yes,,ADFPA,1990-04-07,USA,IN,Women's Nationals
Zach Grahahm,M,SBD,Single-ply,,,Boys,74.93,82.1,,,,,138.35,,,,,81.65,,,,,170.1,390.09,7,278.14,278.14,269.06,372.35,Yes,,THSPA,2013-02-07,USA,TX,Lumberjack Powerlifting Invitational
Dean Cowan,M,SBD,Single-ply,25.0,24-34,Open,125.0,125,,,,,310.0,,,,,200.0,,,,,335.5,845.5,2,481.8,481.8,458.92,558.11,Yes,,PA,1997-07-26,Australia,,Australian Powerlifting Nationals
Aundrea Evans,F,SBD,Single-ply,,,Girls,66.32,67.3,,,,,88.45,,,,,45.36,,,,,111.13,244.94,5,253.2,253.2,223.42,368.7,Yes,,THSWPA,2016-01-13,USA,TX,Big Spring Invitational
Zach Brooks,M,SBD,Single-ply,13.0,13-15,Boys,124.74,124.7,,,,,213.19,,,,,106.59,,,,,215.46,535.24,8,305.13,390.57,290.67,372.49,Yes,,THSPA,2011-02-05,USA,TX,Somerset Invitational
Marcus Ring,M,SBD,Raw,,,Sub-Juniors,70.75,74,,,,,132.5,,,,,85.0,,,,,167.5,385.0,4,286.19,286.19,277.23,398.95,Yes,,SSF,2017-11-11,Sweden,,DM klassisk styrkelyft
Lyndsay Bramble,F,SBD,Wraps,,,Pro Open,67.13,67.5,,,,,138.35,,,,,65.77,,,,,142.88,347.0,3,355.56,355.56,313.68,583.21,,,RPS,2015-10-03,USA,FL,South Florida Conquest
Dale Supple,M,SBD,Wraps,25.0,24-34,M-OR,119.4,125,195.0,210.0,225.0,,225.0,110.0,120.0,125.0,,125.0,235.0,250.0,265.0,,265.0,615.0,5,353.99,353.99,337.91,487.91,,,GPC-AUS,2016-09-02,Australia,VIC,Melbourne Cup
John Myers,M,SBD,Single-ply,43.0,40-44,,75.0,75,,,,,205.0,,,,,152.5,,,,,245.0,602.5,1,429.32,442.63,415.28,541.2,Yes,Australia,PA,1999-05-01,Australia,VIC,Australian Powerlifting Championships
Tommy Neselius,M,B,Single-ply,33.5,24-34,Open,100.0,100,,,,,,,,,,212.5,,,,,,212.5,3,129.33,129.33,124.29,574.31,Yes,Sweden,SSF,1999-06-05,Sweden,,bänk SM seniorer
Radjabov,M,SBD,Multi-ply,,,Juniors,90.0,90,,,,,300.0,,,,,195.0,,,,,250.0,745.0,1,475.6,475.6,458.33,588.11,,Azerbaijan,WPC,1997-11-06,England,,World Championships
Gerardo Guerrero,M,S,Single-ply,,,Boys,69.04,74.8,,,,,154.22,,,,,,,,,,,154.22,19,116.81,116.81,113.23,428.15,Yes,,THSPA,2010-02-20,USA,TX,Stephenville High School
Alfonso Alvarez,M,SBD,Single-ply,,,M-T3,93.0,93,285.0,-295.0,310.0,,310.0,175.0,-185.0,185.0,,185.0,250.0,267.5,-282.5,,267.5,762.5,1,478.99,478.99,461.25,589.84,Yes,Costa Rica,USAPL,2013-06-24,USA,TX,Men's Nationals
Bo Eklöf,M,B,Single-ply,54.5,50-54,Open,82.5,82.5,,,,,,,,,,140.0,,,,,,140.0,10,93.79,112.92,90.54,477.8,Yes,Sweden,SSF,1999-06-05,Sweden,,bänk SM seniorer
Omar Smith,M,SBD,Single-ply,,,Boys,93.98,99.7,,,,,204.12,,,,,106.59,,,,,240.4,551.11,4,344.5,344.5,331.65,439.52,Yes,,THSPA,2015-01-31,USA,TX,Elgin Wildcat Invitational
Hans-Kristian Dalheim,M,B,Single-ply,,,Teen 14-18,61.85,66,,,,,,85.0,92.5,-100.0,,92.5,,,,,,92.5,1,76.77,76.77,74.7,443.91,Yes,,NSF,2013-01-26,Norway,,Benk-cup
Alex Baumung,M,SBD,Wraps,29.0,24-34,Open,76.6,82.5,,,,,235.0,,,,,160.0,,,,,265.0,660.0,2,463.54,463.54,448.18,702.76,,,CPL,2017-12-12,Canada,ON,EPC Finals
Igor Gerasimchik,M,B,Raw,27.5,24-34,Pro Open,108.5,110,,,,,,190.0,197.5,200.0,,200.0,,,,,,200.0,7,118.21,118.21,113.29,684.09,,,WRPF,2016-05-13,Belarus,,Belarus Championships
Rochelle de Beer,F,SBD,Raw,17.5,18-19,Sub-Juniors,55.95,57,70.0,77.5,82.5,,82.5,37.5,42.5,47.5,,47.5,100.0,107.5,112.5,,112.5,242.5,1,285.53,302.66,252.56,436.47,Yes,South Africa,SAPF,2017-03-14,South Africa,,South African Classic Powerlifting Championships
Riley Porath,M,SBD,Single-ply,17.5,18-19,M-T2,74.9,83,,,,,238.1,,,,,111.1,,,,,208.7,557.9,3,397.91,421.78,384.91,506.12,Yes,,USAPL,2015-03-14,USA,WI,WHSPA State Meet
Lamarcus Yannis,M,SBD,Single-ply,,,Boys,67.77,74.8,,,,,104.33,,,,,61.23,,,,,136.08,301.64,17,231.83,231.83,224.84,321.37,Yes,,THSPA,2013-01-26,USA,TX,Highland Park Invitational Meet
A.K. Hafiz,M,SBD,Raw,42.5,40-44,Open,116.6,120,272.5,-290.0,-290.0,,272.5,150.0,152.5,160.0,,160.0,250.0,265.0,,,265.0,697.5,2,403.82,411.9,385.89,572.42,Yes,India,AsianPF,2017-12-04,India,,Asian Classic Powerlifting Championships
Daniel Stølsbotn,M,SBD,Single-ply,,,Teen 14-18,79.9,82.5,,,,,100.0,,,,,67.5,,,,,125.0,292.5,1,199.85,199.85,193.06,283.74,Yes,,NSF,2006-02-04,Norway,,Klubbstevne
Angela Polu,F,SBD,Raw,28.0,24-34,Open,65.8,67.5,,,,,105.0,,,,,52.5,,,,,160.0,317.5,2,330.1,330.1,291.31,537.43,,,USPA,2016-11-05,USA,HI,Alakai CF Real Steel Lift Off
Yuriy Vechirko,M,SBD,Raw,21.5,20-23,Open,105.0,105,,,,,225.0,-160.0,,,,,,,,,,,DQ,,,,,Yes,,UkrainePF,2015-11-28,Ukraine,,Ukrainian Classic Powerlifting Cup
Sergey Zazhigalin,M,B,Raw,28.0,24-34,O,89.25,90,,,,,,132.5,-152.5,,,132.5,,,,,,132.5,27,84.95,84.95,81.88,512.62,Yes,,WPC-RUS,2012-06-07,Russia,,Russian Powerlifting Championships
Brady Reid,M,SBD,Raw,,,Junior Varsity,70.03,70.3,99.79,113.4,124.74,,124.74,70.31,81.65,-90.72,,81.65,142.88,151.95,158.76,,158.76,365.14,10,273.54,273.54,265.05,377.15,,,MHSPLA,2017-03-01,USA,MI,State Championships
Volodimir Ukhach,M,B,Raw,52.5,50-54,Amateur Masters 50-54,99.0,100,,,,,,175.0,185.0,190.0,,190.0,,,,,,190.0,1,116.1,135.26,111.62,687.3,,Ukraine,WPA,2013-06-06,Ukraine,,European Championships
Alexandra Elzein,F,SBD,Raw,26.5,24-34,FR-O,51.1,52,-85.0,85.0,92.5,,92.5,50.0,-55.0,-55.0,,50.0,117.5,130.0,-132.5,,130.0,272.5,1,344.3,344.3,305.41,516.83,Yes,,USAPL,2017-12-02,USA,KS,Kansas State Championship
Maksim Kuznetsov,M,D,Raw,16.0,16-17,Teen 15-19,64.3,67.5,,,,,,,,,,,150.0,157.5,165.0,,165.0,165.0,1,132.41,149.62,128.65,434.42,,Russia,IPL,2018-12-08,Russia,,Drug Tested St Petersburg Open
Zachary Cox,M,SBD,Raw,23.0,20-23,Juniors 20-23,81.0,82.5,,,,,182.5,,,,,112.5,,,,,227.5,522.5,1,353.96,353.96,341.84,517.36,,,USPA,2018-07-07,USA,CA,Ironborn Summer Smash
Sergey Trishkin,M,B,Raw,28.0,24-34,O,89.5,90,,,,,,140.0,152.5,-160.0,,152.5,,,,,,152.5,2,97.63,97.63,94.1,588.94,,Russia,WPC,2013-04-04,Russia,,Eurasian Championships
Bruce Sumida,M,SBD,Raw,52.0,50-54,Masters 50-54,81.6,82.5,,,,,147.5,,,,,142.5,,,,,182.5,472.5,1,318.64,371.21,307.68,457.29,Yes,,USPA,2018-04-07,USA,CA,Drug Tested Coveted Open
Luoevik Bjoernsen,M,SBD,Single-ply,53.5,50-54,Masters 2,126.3,125+,,,,,225.0,,,,,155.0,,,,,220.0,600.0,3,341.2,403.98,324.84,409.01,Yes,Iceland,IPF,1998-10-06,Argentina,,World Masters Powerlifting Championships
Heidi Münch,F,SBD,Single-ply,45.5,45-49,,101.6,90+,180.0,-200.0,200.0,,200.0,92.5,-97.5,100.0,,100.0,180.0,192.5,-202.5,,192.5,492.5,4,408.2,430.65,349.96,543.75,Yes,Germany,EPF,1993-06-05,Germany,,Women's European Championships
Daniel Batista,M,SBD,Raw,22.5,20-23,MR-Jr,92.2,93,185.0,192.5,-210.0,,192.5,117.5,125.0,-135.0,,125.0,222.5,235.0,247.5,,247.5,565.0,6,356.4,356.4,343.26,518.5,Yes,,USAPL,2015-08-15,USA,NY,Limitless Championship
Josh Salas,M,SBD,Single-ply,,,Boys,140.21,124.7+,,,,,174.63,,,,,95.25,,,,,172.37,442.25,7,247.08,247.08,234.06,300.79,Yes,,THSPA,2016-02-25,USA,TX,Roosevelt
Dalton Gray,M,SBD,Single-ply,,13-15,Boys,84.19,89.8,,,,,145.15,,,,,77.11,,,,,158.76,381.02,9,252.22,297.62,243.4,341.08,Yes,,THSPA,2013-01-09,USA,TX,Bovina Invitational
Kevin Arcizo,M,SBD,Single-ply,,,Boys,109.77,109.7,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2010-02-27,USA,TX,Hisd Powerlifting Meet
Jonathan Chunn,M,SBD,Wraps,29.0,24-34,M_OCR_AWPC,87.0,90,280.0,297.5,-302.5,,297.5,130.0,142.5,152.5,,152.5,295.0,-312.5,,,295.0,745.0,1,484.16,484.16,466.91,737.77,Yes,USA,WPC,2017-09-08,USA,IL,Worlds
Lisa Vega,F,SBD,Single-ply,,,Girls,73.84,75,,,,,90.72,,,,,31.75,,,,,86.18,208.65,15,200.32,200.32,176.31,319.5,Yes,,THSWPA,2016-01-30,USA,TX,North Forney Invitational
Jordan Smith,F,SBD,Single-ply,,,Girls,64.5,67.3,,,,,86.18,,,,,36.29,,,,,104.33,226.8,11,239.31,239.31,211.25,352.38,Yes,USA,THSWPA,2014-02-01,USA,TX,North Forney Invitational
Lucas Hisghman,M,SBD,Raw,22.5,20-23,M-LW,74.2,75,227.5,-237.5,-237.5,,227.5,-157.5,-157.5,-157.5,,,202.5,205.0,210.0,,210.0,,DQ,,,,,Yes,,USAPL,2010-03-05,USA,OH,Con-Cret Raw Challenge
Bogdan Fedoruk,M,B,Single-ply,25.5,24-34,Open,145.6,120+,,,,,,,,,,220.0,,,,,,220.0,6,122.24,122.24,115.62,491.04,Yes,,UkrainePF,2013-03-12,Ukraine,,Ukrainian Bench Press Championships
Michelle Havens,F,SBD,Raw,32.5,24-34,FR-O,60.0,63,,,,,86.0,,,,,47.0,,,,,120.0,253.0,5,282.07,282.07,249.22,442.5,Yes,,USAPL,2016-05-28,USA,ID,Idaho RAW Classic
Crissy Falcon,F,SBD,Single-ply,,,Girls,55.43,56,,,,,83.91,,,,,40.82,,,,,,,DQ,,,,,Yes,,THSWPA,2019-02-09,USA,TX,Iron Lion Invitation
Kathy Verbaro,F,SBD,Raw,47.5,45-49,FR-M1b,93.6,84+,107.5,115.0,120.0,,120.0,62.5,67.5,70.0,,70.0,122.5,132.5,137.5,,137.5,327.5,1,278.68,301.53,241.27,482.11,Yes,,USAPL,2016-06-05,USA,NJ,New Jersey Summer Classic
Jack Cardiff,M,SBD,Raw,,,Sub-Juniors,88.4,93,,,,,175.0,,,,,107.5,,,,,192.5,475.0,2,306.07,306.07,295.06,434.81,Yes,,CPU,2017-08-18,Canada,QC,Central Canadian Championship
Kristoffer Iversen,M,SBD,Raw,27.5,24-34,Open,90.34,93,215.0,225.0,232.5,,232.5,130.0,137.5,142.5,,142.5,230.0,245.0,-255.0,,245.0,620.0,1,395.05,395.05,380.67,584.96,Yes,,DSF,2018-05-19,Denmark,,AaSK Open Klassisk
Bruce Barry,M,SBD,Raw,61.0,60-64,Open,89.9,90,,,,,207.5,,,,,95.0,,,,,202.5,505.0,1,322.57,440.63,310.86,462.28,,USA,USPA,2014-06-07,USA,PA,Tri-State Powerlifting Championships
Stacy Dedrick,M,B,Single-ply,49.0,45-49,Open,99.61,100,,,,,,,,,,210.0,,,,,,210.0,1,128.0,142.47,123.04,570.55,,USA,USPA,2015-02-21,USA,CA,Pacific Coast Open
Maritza De La Fuente,F,SBD,Single-ply,,,Girls,65.41,67.3,,,,,127.01,,,,,68.04,,,,,127.01,322.05,8,336.3,336.3,296.81,453.7,Yes,,THSWPA,2014-03-14,USA,TX,Girls State Meet
Mark Bell,M,BD,Raw,,,Open,99.61,100,,,,,,,,,,220.0,,,,,255.0,475.0,1,289.53,289.53,278.3,,,USA,SPF,2019-02-09,USA,CA,Super Training Classic
Marcela Balogová,F,SBD,Single-ply,28.5,24-34,Open,48.1,52,,,,,120.0,,,,,85.0,,,,,140.0,345.0,2,456.23,456.23,406.02,544.26,Yes,Czechia,CSST,2003-10-04,Czechia,,Extraligy v Silovém Trojboji I
Christian Flueras,M,SBD,Single-ply,20.0,20-23,Juniors,90.75,93,240.0,-255.0,255.0,,255.0,190.0,200.0,-212.5,,200.0,245.0,260.0,267.5,,267.5,722.5,1,459.31,473.09,442.55,569.46,Yes,Germany,BVDK,2017-02-10,Germany,BB,DM KDK Equipped
Trey Kasinski,M,SBD,Single-ply,,,Boys,79.74,82.1,,,,,131.54,,,,,79.38,,,,,158.76,369.68,7,252.9,252.9,244.32,343.17,Yes,,THSPA,2014-02-08,USA,TX,4th Annual Orange Grove Invitational-Boys
Roman Sirmanov,M,SBD,Wraps,28.5,24-34,O,130.6,140,290.0,310.0,-325.0,,310.0,180.0,190.0,200.0,,200.0,310.0,332.5,-340.0,,332.5,842.5,1,476.12,476.12,452.55,666.37,,Ukraine,WPC-UKR,2016-04-16,Ukraine,,Open Ukraine Championships
Ryan Palmieri,M,BD,Raw,16.0,16-17,Juniors 16-17,56.97,60,,,,,,,,,,65.0,,,,,112.5,177.5,1,158.92,179.58,155.25,,,,USPA,2011-12-10,USA,CA,NORCAL Powerlifting Championships
